demand_id,requested_item,quantity_needed,urgency_level,requested_by,latitude,longitude,request_status,expected_fulfillment_date
sdv-id-UXRiqo,Oxygen Tanks,93,Critical,NGO009,14.797227,-99.589224,Matched,2025-03-07
sdv-id-wHudpf,Bandages,6,High,NGO006,84.126939,104.518206,Matched,2025-03-30
sdv-id-SZiVvt,Oxygen Tanks,139,Low,NGO005,-62.3447055,-163.246962,Matched,2025-03-30
sdv-id-KIiJAj,Insulin Vials,6,Critical,NGO007,-10.161014,-78.443845,Pending,2025-03-30
sdv-id-UfTnTR,Oxygen Tanks,82,Critical,NGO003,76.2714365,-91.283268,Fulfilled,2025-03-30
sdv-id-sOlreD,Oxygen Tanks,26,High,NGO003,-21.6912785,-56.134717,Matched,2025-03-08
sdv-id-eoGBoL,Insulin Vials,133,High,NGO006,81.3663715,101.18035,Fulfilled,2025-03-30
sdv-id-MWJxlW,Insulin Vials,19,High,NGO010,-22.768563,-50.928882,Fulfilled,2025-03-22
sdv-id-ZnATEj,Oxygen Tanks,6,High,NGO010,13.2534855,-12.002572,Matched,2025-03-17
sdv-id-KICuBa,Wheelchairs,148,Low,NGO005,-70.342637,-59.641147,Matched,2025-03-04
sdv-id-lacRqv,Wheelchairs,27,High,NGO002,-52.5614105,52.981617,Fulfilled,2025-03-30
sdv-id-OnHDaH,Gloves,92,Critical,NGO005,-49.7134055,38.598583,Pending,2025-03-30
sdv-id-PJKYrQ,Bandages,197,High,NGO004,10.449718,-95.423344,Fulfilled,2025-03-15
sdv-id-irUZoH,Insulin Vials,133,High,NGO003,67.1453165,146.798575,Matched,2025-03-30
sdv-id-tSwvCe,Wheelchairs,29,Low,NGO003,-32.725729,96.347346,Matched,2025-03-30
sdv-id-nLXlUX,Oxygen Tanks,11,Low,NGO008,62.5604415,-100.692866,Matched,2025-03-15
sdv-id-UKhcvX,Gloves,170,Medium,NGO008,-72.5322985,160.237247,Matched,2025-03-30
sdv-id-fbyolj,Bandages,157,Critical,NGO007,-83.191544,178.581575,Fulfilled,2025-03-30
sdv-id-mpJEgG,Gloves,6,Critical,NGO005,-39.1733475,64.611835,Pending,2025-03-08
sdv-id-MeBoJO,Insulin Vials,6,Low,NGO006,-5.342691,-114.406486,Fulfilled,2025-03-30
sdv-id-RpQmYf,Wheelchairs,6,High,NGO005,-52.636518,76.871662,Fulfilled,2025-03-16
sdv-id-GGhxGt,Bandages,6,High,NGO001,67.6479495,51.747648,Pending,2025-03-05
sdv-id-PfGmVm,Insulin Vials,64,Medium,NGO007,-87.4223265,166.351736,Matched,2025-03-30
sdv-id-ZnRNWc,Wheelchairs,187,High,NGO005,-50.8684835,98.116898,Fulfilled,2025-03-05
sdv-id-pSwVHB,Oxygen Tanks,129,Medium,NGO001,-40.4396865,146.861934,Matched,2025-03-28
sdv-id-qOWjEJ,Gloves,12,High,NGO004,30.9319985,-89.662329,Matched,2025-03-15
sdv-id-iWxiUz,Bandages,90,High,NGO008,-64.228313,118.748039,Matched,2025-03-13
sdv-id-weSbFp,Oxygen Tanks,6,Critical,NGO002,-5.439525,-107.634238,Fulfilled,2025-03-10
sdv-id-amHXKw,Gloves,84,High,NGO009,48.5158015,-65.322205,Fulfilled,2025-03-30
sdv-id-KcSvKP,Oxygen Tanks,79,Low,NGO004,-27.53761,59.51502,Pending,2025-03-30
sdv-id-AkMKiw,Wheelchairs,144,Low,NGO006,-89.1822025,-70.765116,Matched,2025-03-05
sdv-id-rfBFjA,Gloves,91,Low,NGO002,4.015361,-61.991855,Matched,2025-03-23
sdv-id-zmzsSj,Wheelchairs,132,Critical,NGO004,-22.6824925,-143.614956,Pending,2025-03-30
sdv-id-amvvhx,Gloves,109,Medium,NGO008,-66.16451,-14.781391,Fulfilled,2025-03-17
sdv-id-AxLVfr,Bandages,36,Critical,NGO008,25.765368,152.57209,Matched,2025-03-09
sdv-id-fFDqVH,Insulin Vials,6,High,NGO007,79.471322,141.297871,Pending,2025-03-01
sdv-id-utCzDq,Oxygen Tanks,55,Low,NGO009,-17.6277225,149.905585,Matched,2025-03-01
sdv-id-aejqRN,Wheelchairs,6,High,NGO003,-64.380956,-117.520253,Matched,2025-03-23
sdv-id-DpWAGr,Wheelchairs,170,Medium,NGO006,-42.839663,-148.980274,Matched,2025-03-16
sdv-id-MXKEeI,Oxygen Tanks,81,Low,NGO007,-89.142176,129.041295,Matched,2025-03-30
sdv-id-QebGbc,Oxygen Tanks,76,Medium,NGO006,-59.145905,-37.781914,Fulfilled,2025-03-13
sdv-id-jrhNZA,Oxygen Tanks,125,Medium,NGO004,-78.796442,19.385555,Matched,2025-03-30
